"fold","num_algos","airt_mu","shapley_mu","topset_mu","airt_sd","shapley_sd","topset_sd","num_obs_infold"
2,3,0.0313430333333333,0.0473348,0.0620868333333333,0.0410924259214503,0.0415724394400015,0.045471437381471,10
2,4,0.03621205,0.066860525,0.05584325,0.0436509271202291,0.0410516626744835,0.0411424833584797,10
2,5,0.04117666,0.06816876,0.05171482,0.0467612374625775,0.0458605427753702,0.0396796411834639,10
2,6,0.0468046166666667,0.0655862666666667,0.05583585,0.0475913972121564,0.0387964880745795,0.0429006003809502,10
2,7,0.0461036285714285,0.0847088428571429,0.0583452571428571,0.0465745514336754,0.0453231666928993,0.0437319631659015,10
2,8,0.048976125,0.087168625,0.057636325,0.0484115220804852,0.0458024745078437,0.038789647209751,10
2,9,0.0515486888888889,0.0863118,0.0627468222222222,0.0500253143606326,0.0475792191546159,0.0420356050607203,10
2,10,0.0555434,0.08733889,0.0633805,0.0515678403621654,0.0472184173457879,0.042815463235871,10
2,11,0.0578976090909091,0.0827728545454545,0.0614275181818182,0.0505274450092848,0.0452333622982504,0.0415291620789412,10
2,12,0.0601634583333333,0.0827924416666667,0.0632258833333333,0.0475335913789722,0.0449632751030822,0.0425568760382633,10
3,1,0.0175796363636364,0.0175796363636364,0.00877127272727273,0.0214040079624015,0.0214040079624015,0.00972867672492935,11
3,2,0.0131754545454545,0.0516835,0.0472793181818182,0.0120339018120777,0.0456226181378272,0.0398350722311839,11
3,3,0.016914303030303,0.0474788181818182,0.0411236363636364,0.0128524519843531,0.0358250520388437,0.0336658605779586,11
3,4,0.0206452727272727,0.0378019318181818,0.0369407272727273,0.0171541000403164,0.0271963568300266,0.025980953161512,11
3,5,0.0268352727272727,0.0628714,0.0424532,0.0236461182646578,0.0587868806607053,0.0306964982177446,11
3,6,0.0263598787878788,0.0660194393939394,0.0490042727272727,0.0263647348966897,0.0525085427698978,0.0372892880579421,11
3,7,0.0296781948051948,0.0600726623376623,0.0502591818181818,0.0306451998204914,0.0472560547070813,0.0348070646706102,11
3,8,0.0316488068181818,0.0606264659090909,0.0461742386363636,0.0345134149437018,0.0453619255600888,0.0324570457164858,11
3,9,0.0324733232323232,0.059623,0.0453848181818182,0.0370280164303539,0.0450706721561254,0.0298101503187315,11
3,10,0.0369366636363636,0.0614337,0.0462521545454545,0.0428000019641185,0.0444096181594933,0.0270069123688868,11
3,11,0.0406451487603306,0.0584681157024793,0.0442276776859504,0.0398317709982867,0.0414198023088907,0.0250795889396621,11
3,12,0.044407,0.0562489545454546,0.0470195378787879,0.0378489577652998,0.0403343056580004,0.0271335625846264,11
3,13,0.0454028811188811,0.0598676363636364,0.0473715174825175,0.0393584189124212,0.036729260908235,0.0263989001194384,11
4,1,0.030561,0.0988963,0.0210018,0.0247480054280475,0.118694708629651,0.0520721026287376,10
4,2,0.0257814,0.06472865,0.10172715,0.0319630483951564,0.0681656643622522,0.12243617589609,10
4,3,0.0264454333333334,0.103969933333333,0.0770759333333333,0.0314067201474619,0.108891531044566,0.0954046425793775,10
4,4,0.035955125,0.09788495,0.082531025,0.0423926715397986,0.10700186950994,0.087099097597734,10
4,5,0.04313708,0.08250832,0.08620588,0.0539960952858383,0.0875858819381906,0.0867389394829848,10
4,6,0.04967585,0.0881351333333334,0.0769317333333333,0.0661122707015694,0.0917938083432606,0.0762584389807385,10
4,7,0.0539550142857143,0.0858108142857143,0.0825513714285715,0.0740223783863693,0.0908508932872106,0.0832614977509613,10
4,8,0.052697125,0.088485875,0.0821138625,0.0715109612950856,0.0856821291115411,0.0811265303797709,10
4,9,0.0566811222222222,0.0876474222222222,0.0969202444444445,0.0782987905211086,0.0808387461316115,0.0920383010085918,10
4,10,0.05910699,0.11329554,0.09519122,0.0726701610053481,0.0893686732620329,0.092342764423145,10
4,11,0.0674479818181818,0.112169154545455,0.0905276454545455,0.0823986525112459,0.0885111967365464,0.0874322862098099,10
4,12,0.0770316916666667,0.12013955,0.1003015,0.0944477169435903,0.101742363381876,0.101264561319679,10
4,13,0.0832886461538462,0.113034469230769,0.0981140692307693,0.0985211886834596,0.0966656738595039,0.100682399445963,10
5,1,0.0196578181818182,0.0196578181818182,0.0208409090909091,0.0259625991758074,0.0259625991758074,0.0235971314080951,11
5,2,0.0202493636363636,0.0434972272727273,0.0440887727272727,0.0214361505792095,0.0745384061338058,0.0697935272365438,11
5,3,0.0224375757575758,0.0379361515151515,0.0383305151515151,0.0261027797860223,0.0540241449626129,0.0508430557210375,11
5,4,0.0239665227272727,0.0336623409090909,0.0358468409090909,0.0275477790355807,0.0421362357105308,0.041340957095729,11
5,5,0.0277534363636363,0.0396933818181818,0.0326090363636364,0.0281728548508408,0.0600569868743649,0.0368893447934027,11
5,6,0.0295755,0.0401329242424242,0.0325727121212121,0.0275859013587054,0.0519329562851291,0.0337522835101642,11
5,7,0.0290081038961039,0.0384561948051948,0.0370362597402597,0.0275458879698831,0.0461643203117517,0.046052818447013,11
5,8,0.0296438863636363,0.0562962159090909,0.0387783181818182,0.026938600517105,0.0477381624230713,0.0418825157945698,11
5,9,0.0292370909090909,0.0593215757575758,0.0373144747474747,0.0263807673665203,0.0434720156708992,0.0390847575684299,11
5,10,0.0361096909090909,0.0599978545454546,0.0378160909090909,0.0344892809773545,0.0408647521030867,0.0366489745554348,11
5,11,0.0389485041322314,0.0571392644628099,0.0367403305785124,0.0339064614432205,0.0389613980992769,0.033310545821671,11
6,1,0.00404360000000002,0.00404360000000002,0.0103882,0.00550048622497243,0.00550048622497243,0.0154993061837547,10
6,2,0.00721590000000001,0.1076013,0.1107736,0.00976736953898599,0.165358416452666,0.168808660682212,10
6,3,0.0105619333333334,0.1096939,0.0796004,0.0100465130438745,0.181030929156145,0.111983551678421,10
6,4,0.0137906,0.084867475,0.063991075,0.0123165210552963,0.136608832289063,0.0863386047062708,10
6,5,0.03281362,0.11049172,0.05650572,0.0527834392577781,0.174079216235194,0.0731063316544819,10
6,6,0.0328499833333334,0.129904816666667,0.0825862166666667,0.0447194461409231,0.188823635193026,0.116058489488872,10
6,7,0.0444255714285715,0.113811842857143,0.0837138857142857,0.0753619113806392,0.161527740948076,0.119184201693432,10
6,8,0.05451835,0.11089535,0.0874845375,0.0989611319274236,0.152894315849703,0.123715932349619,10
6,9,0.0522664222222222,0.100480655555556,0.0859376888888889,0.0896530798050098,0.136715053761032,0.118382524799045,10
6,10,0.05285127,0.09278025,0.08823449,0.0832756834669448,0.1239038766777,0.125100210559734,10
6,11,0.0672428818181818,0.0896288545454546,0.0805807727272728,0.0982618644313284,0.115096954949147,0.113850719364479,10
6,12,0.0790933,0.0849124333333333,0.0913197,0.11380277929958,0.106445792136981,0.131134681803907,10
7,1,0.021442,0.021442,0.0192416,0.0161239438999548,0.0161239438999548,0.0219718658905226,10
7,2,0.0203418,0.08097855,0.07987835,0.0130194152074679,0.110407467146437,0.119640733466921,10
7,3,0.0210407,0.0603995666666667,0.07824,0.0127004235327939,0.0800806108564179,0.0932937012691309,10
7,4,0.0284441,0.078686475,0.064289625,0.0214279381199457,0.11536146906803,0.0690081885460432,10
7,5,0.03549172,0.06743688,0.07814114,0.0287053829320023,0.0908314899833606,0.0971391104214775,10
7,6,0.04188705,0.0922472333333333,0.0686912833333333,0.0365133259904247,0.0880084378436186,0.0815121413631066,10
7,7,0.0617923,0.0910017142857143,0.0696696285714286,0.0449670689087797,0.0830763024877918,0.0755924584810967,10
7,8,0.0609450625,0.1118076125,0.067837725,0.0427899246065091,0.106052524962582,0.0683689176534953,10
7,9,0.0594150777777778,0.112476811111111,0.0804361777777778,0.0413561569220462,0.0988683259499638,0.0776918065511078,10
7,10,0.06182643,0.11935151,0.07711008,0.0453308961373795,0.0966998027225432,0.0709953387257815,10
7,11,0.0687451909090909,0.115316218181818,0.0858229727272727,0.0517219544155895,0.0933668720762875,0.0822412835981289,10
7,12,0.0774290833333333,0.120218233333333,0.0839779083333333,0.0588322247398046,0.102984167132599,0.0767883283158071,10
8,1,0.034077,0.034077,0.0393317272727273,0.0720433241764981,0.0720433241764981,0.0922788825616033,11
8,2,0.0367043636363636,0.0345756363636364,0.0464302272727273,0.0817162494985211,0.038812422327195,0.078855657002007,11
8,3,0.0423124848484848,0.036161,0.0426449090909091,0.0763051996382311,0.0532862037218724,0.0535518577250315,11
8,4,0.0422688863636364,0.0354505,0.0464548181818182,0.0816341291326247,0.042282841088762,0.0644869877491858,11
8,5,0.0461355272727273,0.0406808181818182,0.0513432727272727,0.0857086758108546,0.05330800172833,0.073356121280955,11
8,6,0.0458772272727273,0.0618033181818182,0.0484655606060606,0.0899918485349359,0.0603552503525056,0.0726633166743208,11
8,7,0.0468337532467532,0.0606212337662338,0.0463017662337662,0.0929242826019447,0.060024815269587,0.0631403655734432,11
8,8,0.0431377613636364,0.0614161704545455,0.0501886590909091,0.0822033015850119,0.0662727293550879,0.0631880073835982,11
8,9,0.0447157777777778,0.0624696060606061,0.0465305656565657,0.0852874962963722,0.0709451570365041,0.0566515762507754,11
8,10,0.0469426909090909,0.0620111,0.0497563,0.0867357316685281,0.0731065384519059,0.0601885158369601,11
8,11,0.045704173553719,0.065171347107438,0.0492862479338843,0.0782653989840634,0.0737060240490135,0.0640869997957592,11
8,12,0.0448183484848485,0.0661901439393939,0.0506297121212121,0.0713924035091719,0.0721418337840185,0.0654646936138774,11
9,1,0.0108931,0.0269202,0.0321211,0.0204755085702678,0.0244547849660007,0.0353366577381053,10
9,2,0.0215071,0.01890665,0.0505752,0.0160211448886914,0.0149538965027142,0.0628493364745316,10
9,3,0.0233114666666667,0.0356142,0.0426902,0.0151511250588248,0.043823615645302,0.0403114492963886,10
9,4,0.0284603,0.037001925,0.040511825,0.0197417262099144,0.0339682398826156,0.0349425167485531,10
9,5,0.02962302,0.03602576,0.04607474,0.0210781408997726,0.0265409544987532,0.0512663503409443,10
9,6,0.0315467,0.0552409833333333,0.0490041666666667,0.0232450928427995,0.0293689747273146,0.0434515822512346,10
9,7,0.0331185142857143,0.0522032285714286,0.0435597285714286,0.0253315333707313,0.0294592024926345,0.0384632535253733,10
9,8,0.0366466125,0.0536342375,0.0433317375,0.0287756149113423,0.0268837887651577,0.0343496136605139,10
9,9,0.0396082333333333,0.0548229888888889,0.0501087666666667,0.0322776139089124,0.0308538180861351,0.0375955596027258,10
9,10,0.04352017,0.05373137,0.0492144,0.0351426320351807,0.0305729332089695,0.035733802147049,10
9,11,0.0458391818181818,0.0519625090909091,0.0486084909090909,0.0318354498824732,0.0298181206180143,0.0347609646003282,10
9,12,0.0473803333333333,0.0533261666666667,0.0499188666666667,0.0325646706020933,0.0341603144816855,0.0385120292524393,10
10,1,0.0145355454545455,0.0145355454545455,0.0262198181818182,0.012414114188001,0.012414114188001,0.0359013915881214,11
10,2,0.0203776818181818,0.0881298181818182,0.0939719545454545,0.0212134690235623,0.151406671644164,0.154615036848693,11
10,3,0.0227356060606061,0.0830003333333333,0.0833376060606061,0.0187430469139407,0.127200622567572,0.108232552335938,11
10,4,0.0281200454545455,0.0688052045454546,0.0693660681818182,0.0285662176639248,0.0983252331513139,0.0846490246573381,11
10,5,0.0368455272727273,0.0743454181818182,0.0747941090909091,0.0415539891858553,0.107724604033413,0.0992761485624161,11
10,6,0.0500658636363636,0.0722993333333333,0.0756036515151515,0.0486072864644008,0.0916765789110162,0.0900254669678856,11
10,7,0.0596155454545455,0.110564987012987,0.0815050779220779,0.0625157379821459,0.103309225366658,0.0987071168852242,11
10,8,0.0611827272727273,0.105712795454545,0.0731338863636364,0.0613858668712417,0.0994349505846547,0.0872259904903897,11
10,9,0.0612811919191919,0.112024626262626,0.0730902727272727,0.0555646897288595,0.119970083090376,0.0820660890814793,11
10,10,0.0686282090909091,0.103567309090909,0.0855141727272727,0.0590420053314326,0.109839982785882,0.0934229294601287,11
