"latenttrait","CryptoMiniSat_Strange-Night2-st_fixed_","EBGlucose_1.0","glucose_2","glueminisat_2.2.5","Lingeling_587f_fixed_","minisathackcir_minisat_2011-05-13_simp_","minisathackcontrasat_2011-03-02","minisathackEBMiniSAT_2011-03-02","minisathackLR_GL_SHR_2011-03-02","minisathackMiniSAT_2.2.0-agile-26","minisathackminisat_psm_2011-04-01","minisathackreferenceminisat_2.2.0","MPhaseSAT64_2011-05-14_fixed_","QuteRSat_2011-05-12_fixed_","rcl_2011-04-01","RestartSAT_B95","SAT09referencesolverglucose_1.0","SAT09referencesolverprecosat_236"
2.9574332797444,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
3.02106206424951,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
3.08469084875462,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
3.14831963325974,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
3.21194841776485,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
3.27557720226996,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
3.33920598677507,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
3.40283477128018,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
3.46646355578529,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
3.5300923402904,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
3.59372112479551,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
