"Latent_Trait_Order","Latent_Trait","Algorithm","value"
10,-1.18655793858263,"Lingeling_587f_fixed_",0.00162059320193564
10,-1.18655793858263,"minisathackminisat_psm_2011-04-01",0.00109217164132646
10,-1.18655793858263,"CryptoMiniSat_Strange-Night2-st_fixed_",0.00249762101598228
10,-1.18655793858263,"rcl_2011-04-01",0.000401028236398125
10,-1.18655793858263,"MPhaseSAT64_2011-05-14_fixed_",0.000958157271934615
10,-1.18655793858263,"QuteRSat_2011-05-12_fixed_",0.00297492436254808
11,-1.17375055742842,"RestartSAT_B95",0.000932114128053839
11,-1.17375055742842,"glueminisat_2.2.5",0.000916993727762902
11,-1.17375055742842,"SAT09referencesolverprecosat_236",0.00238102607937865
11,-1.17375055742842,"minisathackcir_minisat_2011-05-13_simp_",0.00046155053286009
11,-1.17375055742842,"minisathackreferenceminisat_2.2.0",0.000504446697639694
11,-1.17375055742842,"minisathackEBMiniSAT_2011-03-02",0.0005322149722716
11,-1.17375055742842,"minisathackcontrasat_2011-03-02",0.0007735447689035
11,-1.17375055742842,"minisathackLR_GL_SHR_2011-03-02",0.000736518037326734
11,-1.17375055742842,"minisathackMiniSAT_2.2.0-agile-26",0.000517799352750809
11,-1.17375055742842,"SAT09referencesolverglucose_1.0",0.00085247858147564
11,-1.17375055742842,"glucose_2",0.0010816798054707
11,-1.17375055742842,"EBGlucose_1.0",0.0010494126437433
11,-1.17375055742842,"Lingeling_587f_fixed_",0.00147925492887742
11,-1.17375055742842,"minisathackminisat_psm_2011-04-01",0.000568201188676887
11,-1.17375055742842,"CryptoMiniSat_Strange-Night2-st_fixed_",0.00205224608072305
11,-1.17375055742842,"rcl_2011-04-01",0.000943627682261687
11,-1.17375055742842,"MPhaseSAT64_2011-05-14_fixed_",0.000893096365097794
11,-1.17375055742842,"QuteRSat_2011-05-12_fixed_",0.00261124559025901
12,-1.16952215468099,"RestartSAT_B95",0.000377629243608625
12,-1.16952215468099,"glueminisat_2.2.5",0.0001999600079984
12,-1.16952215468099,"SAT09referencesolverprecosat_236",0.0001999600079984
12,-1.16952215468099,"minisathackcir_minisat_2011-05-13_simp_",0.00027399061856122
12,-1.16952215468099,"minisathackreferenceminisat_2.2.0",0.000201079394188001
12,-1.16952215468099,"minisathackEBMiniSAT_2011-03-02",0.0001999600079984
12,-1.16952215468099,"minisathackcontrasat_2011-03-02",0.0001999600079984
12,-1.16952215468099,"minisathackLR_GL_SHR_2011-03-02",0.0001999600079984
12,-1.16952215468099,"minisathackMiniSAT_2.2.0-agile-26",0.000200520551351308
12,-1.16952215468099,"SAT09referencesolverglucose_1.0",0.0001999600079984
12,-1.16952215468099,"glucose_2",0.0001999600079984
12,-1.16952215468099,"EBGlucose_1.0",0.000213907403763059
12,-1.16952215468099,"Lingeling_587f_fixed_",0.0001999600079984
12,-1.16952215468099,"minisathackminisat_psm_2011-04-01",0.0001999600079984
12,-1.16952215468099,"CryptoMiniSat_Strange-Night2-st_fixed_",0.0001999600079984
12,-1.16952215468099,"rcl_2011-04-01",0.0001999600079984
12,-1.16952215468099,"MPhaseSAT64_2011-05-14_fixed_",0.000361391792069619
12,-1.16952215468099,"QuteRSat_2011-05-12_fixed_",0.0001999600079984
13,-1.14232994532606,"RestartSAT_B95",0.000383030228745653
13,-1.14232994532606,"glueminisat_2.2.5",0.0001999600079984
13,-1.14232994532606,"SAT09referencesolverprecosat_236",0.000324909512700713
13,-1.14232994532606,"minisathackcir_minisat_2011-05-13_simp_",0.000392020040064448
13,-1.14232994532606,"minisathackreferenceminisat_2.2.0",0.0001999600079984
13,-1.14232994532606,"minisathackEBMiniSAT_2011-03-02",0.000307173420898237
13,-1.14232994532606,"minisathackcontrasat_2011-03-02",0.0001999600079984
13,-1.14232994532606,"minisathackLR_GL_SHR_2011-03-02",0.0001999600079984
13,-1.14232994532606,"minisathackMiniSAT_2.2.0-agile-26",0.0001999600079984
13,-1.14232994532606,"SAT09referencesolverglucose_1.0",0.000345510266837579
13,-1.14232994532606,"glucose_2",0.000302142188113726
13,-1.14232994532606,"EBGlucose_1.0",0.0001999600079984
13,-1.14232994532606,"Lingeling_587f_fixed_",0.000410853095367221
13,-1.14232994532606,"minisathackminisat_psm_2011-04-01",0.000384313846059246
13,-1.14232994532606,"CryptoMiniSat_Strange-Night2-st_fixed_",0.000441037673438065
13,-1.14232994532606,"rcl_2011-04-01",0.000245541578783243
13,-1.14232994532606,"MPhaseSAT64_2011-05-14_fixed_",0.000475319057917627
13,-1.14232994532606,"QuteRSat_2011-05-12_fixed_",0.000405640018821697
14,-1.09557928805635,"RestartSAT_B95",0.000458120879775338
14,-1.09557928805635,"glueminisat_2.2.5",0.00261031177563848
14,-1.09557928805635,"SAT09referencesolverprecosat_236",0.00185449278695031
14,-1.09557928805635,"minisathackcir_minisat_2011-05-13_simp_",0.000408363279973865
14,-1.09557928805635,"minisathackreferenceminisat_2.2.0",0.000308705812621746
14,-1.09557928805635,"minisathackEBMiniSAT_2011-03-02",0.0017192233236713
14,-1.09557928805635,"minisathackcontrasat_2011-03-02",0.00147360696249818
14,-1.09557928805635,"minisathackLR_GL_SHR_2011-03-02",0.000866183336364975
14,-1.09557928805635,"minisathackMiniSAT_2.2.0-agile-26",0.000313737301482722
14,-1.09557928805635,"SAT09referencesolverglucose_1.0",0.00254051486074168
14,-1.09557928805635,"glucose_2",0.00258713469658084
14,-1.09557928805635,"EBGlucose_1.0",0.00479876383843522
14,-1.09557928805635,"Lingeling_587f_fixed_",0.00027216809101301
14,-1.09557928805635,"minisathackminisat_psm_2011-04-01",0.000534785096608928
14,-1.09557928805635,"CryptoMiniSat_Strange-Night2-st_fixed_",0.0001999600079984
14,-1.09557928805635,"rcl_2011-04-01",0.00794640941490588
14,-1.09557928805635,"MPhaseSAT64_2011-05-14_fixed_",0.00692837446478307
14,-1.09557928805635,"QuteRSat_2011-05-12_fixed_",0.000609150661233043
15,-1.08794109306309,"RestartSAT_B95",0.0005937924932753
15,-1.08794109306309,"glueminisat_2.2.5",0.00180511931838695
15,-1.08794109306309,"SAT09referencesolverprecosat_236",0.000515570220664054
15,-1.08794109306309,"minisathackcir_minisat_2011-05-13_simp_",0.00168317014998729
15,-1.08794109306309,"minisathackreferenceminisat_2.2.0",0.000835659251583574
15,-1.08794109306309,"minisathackEBMiniSAT_2011-03-02",0.00112860065932851
15,-1.08794109306309,"minisathackcontrasat_2011-03-02",0.000250016251056319
15,-1.08794109306309,"minisathackLR_GL_SHR_2011-03-02",0.00145466817564245
15,-1.08794109306309,"minisathackMiniSAT_2.2.0-agile-26",0.000825382151936347
15,-1.08794109306309,"SAT09referencesolverglucose_1.0",0.000400674736255855
15,-1.08794109306309,"glucose_2",0.00101848758667329
15,-1.08794109306309,"EBGlucose_1.0",0.000379701175175137
15,-1.08794109306309,"Lingeling_587f_fixed_",0.000961131828841644
15,-1.08794109306309,"minisathackminisat_psm_2011-04-01",0.0001999600079984
15,-1.08794109306309,"CryptoMiniSat_Strange-Night2-st_fixed_",0.00112491759978582
15,-1.08794109306309,"rcl_2011-04-01",0.0001999600079984
15,-1.08794109306309,"MPhaseSAT64_2011-05-14_fixed_",0.000658974240696931
15,-1.08794109306309,"QuteRSat_2011-05-12_fixed_",0.00046350586566673
16,-1.08217355385298,"RestartSAT_B95",0.00114177669588093
16,-1.08217355385298,"glueminisat_2.2.5",0.00153073954619695
16,-1.08217355385298,"SAT09referencesolverprecosat_236",0.00554966674251211
16,-1.08217355385298,"minisathackcir_minisat_2011-05-13_simp_",0.000928186231285445
16,-1.08217355385298,"minisathackreferenceminisat_2.2.0",0.000569670730317876
16,-1.08217355385298,"minisathackEBMiniSAT_2011-03-02",0.000542729058799266
16,-1.08217355385298,"minisathackcontrasat_2011-03-02",0.00107704072290973
16,-1.08217355385298,"minisathackLR_GL_SHR_2011-03-02",0.000339399534343839
16,-1.08217355385298,"minisathackMiniSAT_2.2.0-agile-26",0.000567067015979948
16,-1.08217355385298,"SAT09referencesolverglucose_1.0",0.000815354760856449
16,-1.08217355385298,"glucose_2",0.00147264560783447
16,-1.08217355385298,"EBGlucose_1.0",0.000820714842627929
16,-1.08217355385298,"Lingeling_587f_fixed_",0.00368770996898636
16,-1.08217355385298,"minisathackminisat_psm_2011-04-01",0.000652307210603906
16,-1.08217355385298,"CryptoMiniSat_Strange-Night2-st_fixed_",0.00499705173947371
16,-1.08217355385298,"rcl_2011-04-01",0.000664394437689768
16,-1.08217355385298,"MPhaseSAT64_2011-05-14_fixed_",0.000843511707942506
16,-1.08217355385298,"QuteRSat_2011-05-12_fixed_",0.00552761041401802
17,-1.05402916265582,"RestartSAT_B95",0.000255634177266964
17,-1.05402916265582,"glueminisat_2.2.5",0.000399570062612629
17,-1.05402916265582,"SAT09referencesolverprecosat_236",0.00055546297839249
17,-1.05402916265582,"minisathackcir_minisat_2011-05-13_simp_",0.0001999600079984
17,-1.05402916265582,"minisathackreferenceminisat_2.2.0",0.0001999600079984
17,-1.05402916265582,"minisathackEBMiniSAT_2011-03-02",0.0001999600079984
17,-1.05402916265582,"minisathackcontrasat_2011-03-02",0.000398149401581449
17,-1.05402916265582,"minisathackLR_GL_SHR_2011-03-02",0.0001999600079984
17,-1.05402916265582,"minisathackMiniSAT_2.2.0-agile-26",0.000588224913677994
17,-1.05402916265582,"SAT09referencesolverglucose_1.0",0.000275518525865679
17,-1.05402916265582,"glucose_2",0.000856091088091773
17,-1.05402916265582,"EBGlucose_1.0",0.00023018827098684
17,-1.05402916265582,"Lingeling_587f_fixed_",0.000608924395946999
