"latenttrait","2361_weka.OneR","2362_weka.J48","2364_weka.IBk","2367_weka.REPTree","2368_weka.RandomTree","2369_weka.RandomForest","2370_weka.LMT","2371_weka.HoeffdingTree","2373_weka.JRip","2381_weka.NaiveBayes","2647_weka.Logistic","2869_weka.SMO_PolyKernel","2882_weka.SMO_RBFKernel","2889_weka.IBk","2891_weka.HyperPipes","2893_weka.OLM","2894_weka.FURIA","2897_weka.ConjunctiveRule","2898_weka.SimpleCart","2900_weka.LADTree","2903_weka.AdaBoostM1_DecisionStump","2904_weka.AdaBoostM1_J48","2906_weka.Bagging_REPTree","6250_weka.DecisionTable","6352_weka.BayesNet","6355_weka.AdaBoostM1_NaiveBayes","6378_weka.LogitBoost_DecisionStump","8990_weka.MultilayerPerceptron","8994_weka.MultilayerPerceptron","8995_weka.MultilayerPerceptron"
1.26074911929547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.31501242360076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.36927572790605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.42353903221134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.47780233651663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.53206564082192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.58632894512721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.6405922494325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.69485555373779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.74911885804308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.80338216234837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.85764546665366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.91190877095895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
